c,time
1.00013674,0
1.00005,1
1.00006037,2
1.00008525,3
1.00005286,4
1.000097,5
1.0000789,6
1.00006965,7
1.00005,8
1.00007548,9
1.00005037,10
1.00004832,11
1.00005,12
1.00005,13
1.00005037,14
1.00005,15
1.00005,16
1.00005037,17
1.00009275,18
1.00005037,19
1.00005281,20
1.00005092,21
1.00005,22
1.00005074,23
1.00005894,24
1.00005669,25
1.00005017,26
1.00006047,27
1.000065,28
1.000065,29
1.00005001,30
1.00005074,31
1.000065,32
1.00005191,33
1.000055,34
1.000055,35
1.000055,36
1.0001,37
1.000055,38
1.000055,39
1.000055,40
1.00005001,41
1.000055,42
1.00006318,43
1.00005074,44
1.00005074,45
1.00005001,46
1.00005074,47
1.00005287,48
1.00005001,49
1.00005264,50
1.00005001,51
1.00005074,52
1.00005074,53
1.00005001,54
1.00005001,55
1.00005074,56
1.00005,57
1.000055,58
1.00005001,59
1.0003105,0
