c,time
1.00005,0
1.00004,1
1.00003169,2
1.0000005,3
1.00005,4
1.00005,5
1.00005,6
1.00005,7
1.00002525,8
1.000045,9
1.00005,10
1.00005,11
1.00002525,12
1.00003344,13
1.00005,14
1.0000309,15
1.00002607,16
1.00005,17
1.00005,18
1.00002967,19
1.00005,20
1.00005,21
1.00003421,22
1.00002629,23
1.00003668,24
1.00003,25
1.000035,26
1.00005,27
1.00005,28
1.0000005,29
1.0000005,30
1.0000325,31
1.00002525,32
1.00005,33
1.000045,34
1.00005,35
1.00005,36
1.00005,37
1.00005,38
1.00003,39
1.00005,40
1.00005,41
1.00000025,42
1.00000025,43
1.00000973,44
1.00000025,45
1.00000307,46
1.00000739,47
1.0,48
1.00000478,49
1.00000117,50
1.00000025,51
1.0000008,52
1.00005,53
1.0000005,54
1.00005,55
1.00005,56
1.00005,57
1.00005,58
1.00005,59
