c,time
1.00000735,0
1.0,1
1.00000601,2
1.00000237,3
1.00000025,4
1.00000025,5
1.00000025,6
1.00000516,7
1.00000631,8
1.00003022,9
1.00000301,10
1.00000624,11
1.00000025,12
1.00000025,13
1.00000025,14
1.00000772,15
1.0,16
1.00000496,17
1.00000025,18
1.0,19
1.00000025,20
1.00000025,21
1.00000025,22
1.00000932,23
1.00000025,24
1.00000025,25
1.0,26
1.00005,27
1.00005,28
1.00005,29
1.0000261,30
1.00005,31
1.00002914,32
1.00005,33
1.00000025,34
1.0,35
1.00000025,36
1.0000015,37
1.00005,38
1.00005,39
1.00005,40
1.00005,41
1.00000001,42
1.00001446,43
1.00001519,44
1.00005,45
1.0,46
1.00000001,47
1.0,48
1.00000001,49
1.0,50
1.00005,51
1.00000001,52
1.00001476,53
1.00000025,54
1.00000001,55
1.00000066,56
1.00000481,57
1.0,58
1.00000782,59
