c,time
0.99995504,0
0.99995252,1
0.99997683,2
0.99995504,3
1.0,4
0.99995504,5
0.99995504,6
0.99995001,7
0.99997752,8
0.999967,9
0.99997752,10
0.99997501,11
0.99997362,12
0.99997752,13
0.99995252,14
0.99997814,15
0.99995504,16
0.99995504,17
0.99995504,18
0.99997419,19
0.99996952,20
0.99999283,21
0.99997752,22
0.99997752,23
0.99999355,24
0.99996824,25
0.99995509,26
0.99999519,27
0.99998768,28
0.99995504,29
0.99997532,30
0.99997752,31
0.99997413,32
0.99997604,33
0.99997738,34
0.99997428,35
1.0,36
1.0,37
0.99999837,38
0.99997755,39
0.99997318,40
0.99997555,41
0.99998377,42
0.99995489,43
0.99996977,44
1.0,45
0.99997669,46
0.99995252,47
0.99995504,48
0.99995252,49
0.99995252,50
0.99994838,51
0.99995504,52
0.99996533,53
0.99995504,54
0.99998466,55
0.99997752,56
0.99996942,57
0.99997162,58
0.99997752,59
