c,time
1.0,0
1.0,1
1.0,2
1.0,3
1.0,4
1.0,5
1.0,6
1.0,7
1.0,8
1.0,9
1.0,10
1.0,11
1.0,12
1.0,13
1.0,14
1.0,15
1.0,16
1.0,17
1.0,18
1.0,19
1.0,20
1.0,21
1.0,22
1.0,23
1.0,24
1.000006,25
1.0000035,26
1.0,27
1.000005,28
1.00001,29
1.00004396,30
1.00001,31
1.0,32
1.000005,33
1.00005,34
1.00005,35
1.0000445,36
1.00005008,37
1.00005,38
1.00005001,39
1.00005001,40
1.00005,41
1.00005,42
1.00005001,43
1.00005,44
1.00005,45
1.00005,46
1.00005,47
1.00000149,48
1.0000053,49
1.00000808,50
1.00000959,51
1.0000145,52
1.0000005,53
1.0,54
1.0000055,55
1.0000005,56
1.00002,57
1.0,58
1.0,59
