c,time
1.00006,0
1.00006,1
1.00005537,2
1.00005162,3
1.00006499,4
1.00005537,5
1.00005364,6
1.00005041,7
1.00006,8
1.00005041,9
1.0000531,10
1.00005891,11
1.00005004,12
1.00005004,13
1.00005004,14
1.00006775,15
1.00005041,16
1.00005008,17
1.00005743,18
1.000065,19
1.0000675,20
1.0000625,21
1.00006,22
1.0000625,23
1.0000625,24
1.0000625,25
1.0000675,26
1.00006656,27
1.0000641,28
1.0000675,29
1.0000675,30
1.0000675,31
1.0000675,32
1.0000625,33
1.0000675,34
1.0000625,35
1.00007,36
1.0000625,37
1.00006,38
1.00006,39
1.00005811,40
1.00005041,41
1.00006095,42
1.000065,43
1.00006,44
1.00007,45
1.00007,46
1.000065,47
1.00007,48
1.000065,49
1.00007,50
1.0000675,51
1.000065,52
1.000065,53
1.00005037,54
1.00004913,55
1.00005074,56
1.00004108,57
1.00005037,58
1.00005037,59
