c,time
1.00005037,0
1.0000575,1
1.00005351,2
1.00005256,3
1.0000508,4
1.00005418,5
1.00005306,6
1.00005787,7
1.00005037,8
1.00005037,9
1.00005982,10
1.00005037,11
1.00005749,12
1.00005037,13
1.00005,14
1.00005787,15
1.00005491,16
1.00005054,17
1.00005,18
1.00005037,19
1.00005,20
1.00005037,21
1.00005,22
1.00005,23
1.00005,24
1.00005,25
1.00005,26
1.00005,27
1.00005,28
1.00005,29
1.00005037,30
1.00005037,31
1.00005,32
1.00005445,33
1.00005037,34
1.00005,35
1.00005312,36
1.00005025,37
1.00005037,38
1.00005037,39
1.00005,40
1.00005037,41
1.00005037,42
1.00005287,43
1.00005037,44
1.00005037,45
1.00005163,46
1.00005025,47
1.00005,48
1.00005037,49
1.00005044,50
1.00005,51
1.00005025,52
1.00005037,53
1.00005,54
1.00005,55
1.00005037,56
1.00004707,57
1.00005,58
1.00005037,59
