c,time
1.000005,0
1.0,1
1.00000025,2
1.0,3
1.00000025,4
1.00000362,5
1.00000025,6
1.00000025,7
1.0,8
1.00000025,9
1.00000025,10
1.00000025,11
1.00000025,12
1.0000024,13
1.00000025,14
1.00000445,15
1.0,16
1.00000025,17
1.00000025,18
1.0,19
1.00000025,20
1.00000388,21
1.00000025,22
1.00000025,23
1.00005,24
1.00005,25
1.00005,26
1.00005,27
1.00002857,28
1.00000025,29
1.00005,30
1.00002525,31
1.00000025,32
1.00000006,33
1.00000025,34
1.00000025,35
1.00000373,36
1.00000025,37
1.0000019,38
1.00000025,39
1.0,40
1.00005,41
1.00000025,42
1.0,43
1.00000092,44
1.00000025,45
1.00000025,46
1.00000025,47
1.00000025,48
1.00002884,49
1.00000025,50
1.0,51
1.0,52
1.0,53
1.00000134,54
1.00000025,55
1.00000546,56
1.00000732,57
1.00000001,58
1.00000214,59
