c,time
1.00035,0
1.00034022,1
1.00033,2
1.00033368,3
1.00031425,4
1.00034517,5
1.00033204,6
1.000345,7
1.0003218,8
1.00030932,9
1.00031873,10
1.00031297,11
1.00032165,12
1.00031879,13
1.00032729,14
1.00033301,15
1.00032255,16
1.00032868,17
1.00030958,18
1.00031414,19
1.00032538,20
1.00030775,21
1.00030775,22
1.00031799,23
1.00031787,24
1.00032225,25
1.00032326,26
1.00031939,27
1.00032169,28
1.00031417,29
1.000335,30
1.00031124,31
1.00031645,32
1.00031548,33
1.00031039,34
1.00032844,35
1.0003099,36
1.00031007,37
1.00033712,38
1.00029685,39
1.00028024,40
1.00029494,41
1.00030775,42
1.00029275,43
1.00030775,44
1.00030775,45
1.00030775,46
1.00029275,47
1.0003147,48
1.00030025,49
1.00032327,50
1.0003095,51
1.000309,52
1.0003085,53
1.00031075,54
1.00032035,55
1.000322,56
1.00032425,57
1.00030775,58
1.00033187,59
