c,time
0.99998547,0
0.99995784,1
0.99996638,2
0.99998389,3
0.99998389,4
0.99998474,5
0.99998457,6
0.99996708,7
0.99996707,8
0.99998388,9
0.99996564,10
0.99996564,11
0.99998456,12
0.99999233,13
0.99998819,14
0.99999984,15
0.99995001,16
0.99995001,17
0.99998447,18
0.99998461,19
0.9999675,20
0.99993162,21
0.99996702,22
0.99998451,23
0.99998476,24
0.99996727,25
0.9999413,26
0.99996568,27
0.99996568,28
0.9999475,29
0.99991649,30
0.9999415,31
0.99996568,32
0.9999675,33
0.99994298,34
0.99994131,35
0.99991942,36
0.9999331,37
0.9999206,38
0.99994776,39
0.99993275,40
0.99992025,41
0.99994655,42
0.99994654,43
0.99994661,44
0.999945,45
0.9999675,46
0.9999675,47
0.99997916,48
0.99997916,49
0.99996044,50
0.99996894,51
0.9999631,52
0.99996415,53
0.99997916,54
0.99998027,55
0.99996914,56
0.99996363,57
0.99995084,58
0.99996849,59
